stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,corridor,active
518146202000572,Icurana,Avenida Cesário de Melo próximo ao 7800,-22.91513,-43.60576,0,518146202000500,BRT Transoeste,1
526151201000600,Ilha de Guaratiba,Avenida Dom Joao VI,-23.00942,-43.53993,1,,BRT Transoeste,1
526151201000671,Ilha de Guaratiba,Avenida Dom Joao VI,-23.0094,-43.53986,0,526151201000600,BRT Transoeste,1
526151201000672,Ilha de Guaratiba,Avenida Dom Joao VI,-23.00952,-43.53988,0,526151201000600,BRT Transoeste,1
424128204000100,Ilha Pura,Avenida Salvador Allende próximo ao 4750,-22.98954,-43.41764,1,,BRT Transolímpica,1
424128204000171,Ilha Pura,Avenida Salvador Allende próximo ao 4750,-22.98951,-43.41767,0,424128204000100,BRT Transolímpica,1
424128204000172,Ilha Pura,Avenida Salvador Allende próximo ao 4750,-22.98957,-43.41762,0,424128204000100,BRT Transolímpica,1
518146202000300,Inhoaíba,Avenida Cesário de Melo próximo ao 6851,-22.91336,-43.59575,1,,BRT Transoeste,0
518146202000371,Inhoaíba,Avenida Cesário de Melo próximo ao 6851,-22.9133,-43.59572,0,518146202000300,BRT Transoeste,1
518146202000372,Inhoaíba,Avenida Cesário de Melo próximo ao 6851,-22.91338,-43.59568,0,518146202000300,BRT Transoeste,1
424128201000300,Interlagos,Avenida das Américas próximo ao 10650,-23.00087,-43.41746,1,,BRT Transoeste,1
424128201000371,Interlagos,Avenida das Américas próximo ao 10650,-23.00083,-43.41751,0,424128201000300,BRT Transoeste,1
424128201000372,Interlagos,Avenida das Américas próximo ao 10650,-23.00092,-43.41743,0,424128201000300,BRT Transoeste,1
416124203000100,Ipase,Rua Cândido Benício próximo ao 3008,-22.90469,-43.35704,1,,BRT Transcarioca,1
416124203000171,Ipase,Rua Cândido Benício próximo ao 3008,-22.90469,-43.35705,0,416124203000100,BRT Transcarioca,1
416124203000172,Ipase,Rua Cândido Benício próximo ao 3008,-22.90469,-43.357,0,416124203000100,BRT Transcarioca,1
424128201001999,Jardim Oceânico,Avenida Armando Lombardi próximo ao 19,-23.00665,-43.31262,1,,BRT Transoeste,1
424128201001991,Jardim Oceânico,Avenida Armando Lombardi próximo ao 19,-23.0066,-43.31258,0,424128201001999,BRT Transoeste,1
424128201001992,Jardim Oceânico,Avenida Armando Lombardi próximo ao 19,-23.00675,-43.31246,0,424128201001999,BRT Transoeste,1
519148202000100,Júlia Miguel,Avenida Cesário de Melo próximo ao 10233,-22.91565,-43.62797,1,,BRT Transoeste,0
519148202000171,Júlia Miguel,Avenida Cesário de Melo próximo ao 10233,-22.91559,-43.62794,0,519148202000100,BRT Transoeste,0
519148202000172,Júlia Miguel,Avenida Cesário de Melo próximo ao 10233,-22.91569,-43.62792,0,519148202000100,BRT Transoeste,0
416119204000100,Leila Diniz,Corredor Presidente Tancredo Neves,-22.95303,-43.39054,1,,BRT Transolímpica,1
416119204000171,Leila Diniz,Corredor Presidente Tancredo Neves,-22.95291,-43.39054,0,416119204000100,BRT Transolímpica,1
416119204000172,Leila Diniz,Corredor Presidente Tancredo Neves,-22.95295,-43.39043,0,416119204000100,BRT Transolímpica,1
424128203000100,Lourenço Jorge,Hospital Lourenço Jorge,-22.9946,-43.36589,1,,BRT Transcarioca,1
424128203000171,Lourenço Jorge,Hospital Lourenço Jorge,-22.99461,-43.36593,0,424128203000100,BRT Transcarioca,1
424128203000172,Lourenço Jorge,Hospital Lourenço Jorge,-22.99462,-43.36585,0,424128203000100,BRT Transcarioca,1
315083203000300,Madureira / Manaceia,Rua Carolina Machado próximo ao 778,-22.87725,-43.33608,1,,BRT Transcarioca,1
315083203000371,Madureira / Manaceia,Rua Carolina Machado próximo ao 778,-22.8776,-43.33633,0,315083203000300,BRT Transcarioca,1
315083203000372,Madureira / Manaceia,Rua Carolina Machado próximo ao 778,-22.87757,-43.33624,0,315083203000300,BRT Transcarioca,1
315083203000381,Madureira / Manaceia,Rua Carolina Machado próximo ao 778,-22.87682,-43.33587,0,315083203000300,BRT Transcarioca,1
315083203000382,Madureira / Manaceia,Rua Carolina Machado próximo ao 778,-22.87694,-43.33585,0,315083203000300,BRT Transcarioca,1
315083203000299,Madureira / Paulo da Portela,Terminal Paulo da Portela próximo ao 315,-22.87877,-43.33642,1,,BRT Transcarioca,1
315083203000291,Madureira / Paulo da Portela,Terminal Paulo da Portela próximo ao 315,-22.87767,-43.33682,0,315083203000299,BRT Transcarioca,1
315083203000292,Madureira / Paulo da Portela,Terminal Paulo da Portela próximo ao 315,-22.87867,-43.33636,0,315083203000299,BRT Transcarioca,1
526151201000200,Magarça,Avenida Dom Joao VI próximo ao 38,-22.96863,-43.62207,1,,BRT Transoeste,1
526151201000271,Magarça,Avenida Dom Joao VI próximo ao 38,-22.96859,-43.62204,0,526151201000200,BRT Transoeste,1
526151201000272,Magarça,Avenida Dom Joao VI próximo ao 38,-22.96869,-43.622,0,526151201000200,BRT Transoeste,1
314073203000100,Marambaia,Rua Luísa de Carvalho próximo ao 116,-22.85304,-43.32028,1,,BRT Transcarioca,0
314073203000171,Marambaia,Rua Luísa de Carvalho próximo ao 116,-22.85305,-43.32037,0,314073203000100,BRT Transcarioca,0
314073203000172,Marambaia,Rua Luísa de Carvalho próximo ao 116,-22.85307,-43.32025,0,314073203000100,BRT Transcarioca,0
330157203000100,Maré,Avenida Brigadeiro Trompowski próximo ao 112,-22.847,-43.24367,1,,BRT Transcarioca,1
330157203000171,Maré,Avenida Brigadeiro Trompowski próximo ao 112,-22.84696,-43.24373,0,330157203000100,BRT Transcarioca,1
330157203000172,Maré,Avenida Brigadeiro Trompowski próximo ao 112,-22.84705,-43.24373,0,330157203000100,BRT Transcarioca,1
533137204000100,Marechal Fontenelle,Corredor Presidente Tancredo Neves,-22.88654,-43.4008,1,,BRT Transolímpica,1
533137204000171,Marechal Fontenelle,Corredor Presidente Tancredo Neves,-22.88695,-43.40093,0,533137204000100,BRT Transolímpica,1
533137204000172,Marechal Fontenelle,Corredor Presidente Tancredo Neves,-22.88685,-43.40081,0,533137204000100,BRT Transolímpica,1
533137204000181,Marechal Fontenelle,Corredor Presidente Tancredo Neves,-22.88613,-43.40079,0,533137204000100,BRT Transolímpica,1
533137204000182,Marechal Fontenelle,Corredor Presidente Tancredo Neves,-22.88611,-43.40069,0,533137204000100,BRT Transolímpica,1
526151201000300,Mato Alto,Avenida Dom Joao VI,-22.99378,-43.59679,1,,BRT Transoeste,1
526151201000371,Mato Alto,Avenida Dom Joao VI,-22.9935,-43.59706,0,526151201000300,BRT Transoeste,1
526151201000372,Mato Alto,Avenida Dom Joao VI,-22.99357,-43.5971,0,526151201000300,BRT Transoeste,1
526151201000381,Mato Alto,Avenida Dom Joao VI,-22.99398,-43.59646,0,526151201000300,BRT Transoeste,1
526151201000382,Mato Alto,Avenida Dom Joao VI,-22.99407,-43.59653,0,526151201000300,BRT Transoeste,1
315083203000400,Mercadão de Madureira,Avenida Ministro Edgard Romero próximo ao 271,-22.87024,-43.33555,1,,BRT Transcarioca,1
315083203000471,Mercadão de Madureira,Avenida Ministro Edgard Romero próximo ao 271,-22.87021,-43.33558,0,315083203000400,BRT Transcarioca,1
315083203000472,Mercadão de Madureira,Avenida Ministro Edgard Romero próximo ao 271,-22.87023,-43.3355,0,315083203000400,BRT Transcarioca,1
416122203000300,Merck,Estrada dos Bandeirantes próximo ao 1298,-22.93515,-43.37189,1,,BRT Transcarioca,1
416122203000371,Merck,Estrada dos Bandeirantes próximo ao 1298,-22.93524,-43.3719,0,416122203000300,BRT Transcarioca,1
416122203000372,Merck,Estrada dos Bandeirantes próximo ao 1298,-22.93522,-43.37181,0,416122203000300,BRT Transcarioca,1
416115204000200,Minha Praia,Avenida Salvador Allende próximo ao 881,-22.96677,-43.39706,1,,BRT Transolímpica,0
416115204000271,Minha Praia,Avenida Salvador Allende próximo ao 881,-22.96669,-43.39703,0,416115204000200,BRT Transolímpica,0
416115204000272,Minha Praia,Avenida Salvador Allende próximo ao 881,-22.96675,-43.39698,0,416115204000200,BRT Transolímpica,0
416115204000100,Morro do Outeiro,Avenida Salvador Allende próximo ao 1400,-22.97099,-43.40092,1,,BRT Transolímpica,1
416115204000171,Morro do Outeiro,Avenida Salvador Allende próximo ao 1400,-22.97144,-43.4014,0,416115204000100,BRT Transolímpica,1
